Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2016010000352,1,1,1,2,27,6,3,0,0,0,0,0,9,1,3
2016010000352,1,2,2,1,2,1,3,0,0,2,0,0,9,1,3
2016010000352,2,3,1,1,47,8,3,0,0,0,0,0,9,1,6
2016010000354,2,1,1,1,25,5,3,0,0,0,0,0,1,1,-1
2016010000356,1,1,1,1,54,8,3,0,0,0,0,0,19,1,5
2016010000357,2,1,1,1,26,6,3,0,0,0,0,0,19,1,-1
2016010000358,2,1,1,1,46,8,3,0,0,0,0,0,9,1,6
2016010000359,2,1,1,1,27,6,2,0,0,0,0,0,4,1,3
2016010000361,1,1,1,1,36,7,3,0,0,0,0,0,11,1,8
2016010000361,1,2,3,2,60,9,2,10,9,0,0,2,0,1,7
2016010000361,1,3,2,2,23,5,3,0,0,0,4,0,11,1,8
2016010000361,1,4,2,2,42,7,3,0,0,0,4,0,11,1,8
2016010000361,1,5,2,2,40,7,3,0,0,0,3,0,11,1,8
2016010000362,2,1,1,1,16,4,3,0,0,0,0,0,1,1,4
2016010000363,2,1,1,1,45,7,3,0,0,0,0,0,9,1,4
2016010000364,1,1,1,1,37,7,2,0,0,0,0,0,3,1,4
2016010000365,1,1,1,1,24,5,3,0,0,0,0,0,9,1,3
2016010000367,2,1,1,1,30,6,3,0,0,0,0,0,3,1,3
2016010000368,2,1,1,1,33,6,3,0,0,0,0,0,1,1,5
2016010000370,1,1,2,2,45,7,3,0,0,2,0,0,8,1,3
2016010000373,2,1,1,1,16,4,3,0,0,0,0,0,2,1,9
2016010000374,1,1,2,2,58,9,3,0,0,0,3,0,11,1,2
2016010000375,1,1,3,1,32,6,3,10,9,0,0,2,0,1,4
2016010000375,1,2,1,1,20,4,3,0,0,0,0,0,2,1,3
2016010000377,1,1,3,1,23,5,3,5,3,0,0,2,0,1,3
2016010000378,1,1,3,1,14,3,3,5,1,0,0,2,0,-1,-1
